state,city,county,median_value,median_tax
Pennsylvania,Quakertown,bucks,421700,1.3832
Pennsylvania,Revere,bucks,421700,1.3832
Pennsylvania,Richboro,bucks,421700,1.3832
Pennsylvania,Richlandtown,bucks,421700,1.3832
Pennsylvania,Rushland,bucks,421700,1.3832
Pennsylvania,Salford,montgomery,409900,1.4091
Pennsylvania,Salfordville,montgomery,409900,1.4091
Pennsylvania,Sellersville,bucks,421700,1.3832
Pennsylvania,Silverdale,bucks,421700,1.3832
Pennsylvania,Solebury,bucks,421700,1.3832
Pennsylvania,Souderton,montgomery,409900,1.4091
Pennsylvania,Southampton,bucks,421700,1.3832
Pennsylvania,Spinnerstown,bucks,421700,1.3832
Pennsylvania,Telford,montgomery,409900,1.4091
Pennsylvania,Trumbauersville,bucks,421700,1.3832
Pennsylvania,Tylersport,montgomery,409900,1.4091
Pennsylvania,Upper Black Eddy,bucks,421700,1.3832
Pennsylvania,Warminster,bucks,421700,1.3832
Pennsylvania,Warrington,bucks,421700,1.3832
Pennsylvania,Washington Crossing,bucks,421700,1.3832
Pennsylvania,Woxall,montgomery,409900,1.4091
Pennsylvania,Wycombe,bucks,421700,1.3832
Pennsylvania,Zionhill,bucks,421700,1.3832
Pennsylvania,Abington,montgomery,409900,1.4091
Pennsylvania,Ambler,montgomery,409900,1.4091
Pennsylvania,Ardmore,montgomery,409900,1.4091
Pennsylvania,Bala Cynwyd,montgomery,409900,1.4091
Pennsylvania,Huntingdon Valley,montgomery,409900,1.4091
Pennsylvania,Bristol,bucks,421700,1.3832
Pennsylvania,Broomall,delaware,302400,1.9845
Pennsylvania,Bryn Athyn,montgomery,409900,1.4091
Pennsylvania,Bryn Mawr,delaware,302400,1.9845
Pennsylvania,Cheltenham,montgomery,409900,1.4091
Pennsylvania,Chester,delaware,302400,1.9845
Pennsylvania,Aston,delaware,302400,1.9845
Pennsylvania,Brookhaven,delaware,302400,1.9845
Pennsylvania,Chester Heights,delaware,302400,1.9845
Pennsylvania,Clifton Heights,delaware,302400,1.9845
Pennsylvania,Philadelphia,philadelphia,232400,0.8399
Pennsylvania,Bensalem,bucks,421700,1.3832
Pennsylvania,Croydon,bucks,421700,1.3832
Pennsylvania,Crum Lynne,delaware,302400,1.9845
Pennsylvania,Darby,delaware,302400,1.9845
Pennsylvania,Dresher,montgomery,409900,1.4091
Pennsylvania,Drexel Hill,delaware,302400,1.9845
Pennsylvania,Elkins Park,montgomery,409900,1.4091
Pennsylvania,Edgemont,delaware,302400,1.9845
Pennsylvania,Essington,delaware,302400,1.9845
Pennsylvania,Fairless Hills,bucks,421700,1.3832
Pennsylvania,Flourtown,montgomery,409900,1.4091
Pennsylvania,Folcroft,delaware,302400,1.9845
Pennsylvania,Folsom,delaware,302400,1.9845
